"id","data_version","date","months","garagem","terraco","piscina","terreno","centroid","pva_m2","data_private","data_public","ecd","cfr","thumbnail","classe_energetica_id","cp7_id","estado","gama","situacao_mercado_id","tipo","tipologia","concelho_id","freguesia_id","regiao_id"
2549419,202110,"2021-07-01",3,False,False,False,False,"0101000020E6100000A2FBE103155B22C069B004AD1B5A4340",6200,"{""pv"": 620000, ""pva"": 620000, ""coef"": 100.000, ""meses"": 8, ""pv_m2"": 6200}","{""cp"": ""1300-501 LISBOA"", ""abp"": 100, ""concelho"": ""Lisboa"", ""freguesia"": ""Alcântara"", ""n_quartos"": 2, ""orginal_cfr"": ""120511134-495"", ""percentil_pva"": 80, ""ano_construcao"": 2021}",219,"66c102be72d37aeeb9c35a04215d7c8b",NULL,0,1300501,1,4,2,1,3,110600,110602,1
2553641,202110,"2020-07-01",15,False,False,False,False,"0101000020E61000007EABC170B87A21C0F8ACC66D0F8D4240",979,"{""pv"": 52000, ""pva"": 57800, ""coef"": 111.000, ""meses"": 14, ""pv_m2"": 881}","{""cp"": ""8600-109 LUZ LGS"", ""abp"": 59, ""concelho"": ""Lagos"", ""freguesia"": ""Luz"", ""n_quartos"": 1, ""orginal_cfr"": ""120561328-5"", ""percentil_pva"": 0, ""ano_construcao"": 1910}",219,"358265c2b13c8caa179ff4bdf48573b9",NULL,0,8600109,2,1,2,2,7,80700,80703,6
2564814,202110,"2020-05-01",17,False,False,False,False,"0101000020E6100000F20FD741904022C00F8808E605504340",1370,"{""pv"": 85000, ""pva"": 95900, ""coef"": 113.000, ""meses"": 2, ""pv_m2"": 1214}","{""cp"": ""2845-100 AMORA"", ""abp"": 70, ""concelho"": ""Seixal"", ""freguesia"": ""Amora"", ""n_quartos"": 2, ""orginal_cfr"": ""120881159-873"", ""percentil_pva"": 24, ""ano_construcao"": 1973}",219,"888b5176e37303c8d9f0f65befa635a7",NULL,5,2845100,2,1,2,1,3,151000,151002,1
2545404,202110,"2020-08-01",14,False,False,False,False,"0101000020E6100000C363B1E08D5722C08556EDBB1E5D4340",2089,"{""pv"": 147300, ""pva"": 156700, ""coef"": 106.000, ""meses"": 5, ""pv_m2"": 1964}","{""cp"": ""1070-224 LISBOA"", ""abp"": 75, ""concelho"": ""Lisboa"", ""freguesia"": ""Campolide"", ""n_quartos"": 2, ""orginal_cfr"": ""120261523-67"", ""percentil_pva"": 8, ""ano_construcao"": 1938}",219,"198ed06fc0deed7aecd4718c06dfdb0e",NULL,7,1070224,2,1,1,1,3,110600,110610,1
2559224,202110,"2020-07-01",15,False,False,False,False,"0101000020E61000005D00B77A906222C0DBED2721E0644340",2824,"{""pv"": 362700, ""pva"": 387000, ""coef"": 107.000, ""meses"": 1, ""pv_m2"": 2647}","{""cp"": ""2675-487 ODIVELAS"", ""abp"": 137, ""concelho"": ""Odivelas"", ""freguesia"": ""Odivelas"", ""n_quartos"": 3, ""orginal_cfr"": ""120631558-38"", ""percentil_pva"": 91, ""ano_construcao"": 2008}",219,"04f71a703c8d2a14162c926ba8478830",NULL,3,2675487,2,4,3,1,4,111600,111603,1
2562325,202110,"2021-01-01",9,False,False,False,False,"0101000020E6100000D23A898C370521C001F4A045DB994440",995,"{""pv"": 230000, ""pva"": 250900, ""coef"": 109.000, ""meses"": 7, ""pv_m2"": 913}","{""cp"": ""4440-777 VALONGO"", ""abp"": 252, ""concelho"": ""Valongo"", ""freguesia"": ""Valongo"", ""n_quartos"": 3, ""orginal_cfr"": ""120781259-7"", ""percentil_pva"": 92, ""ano_construcao"": 2008}",219,"ff32d19a0f0d5befebd8e7c2f80fecde",NULL,3,4440777,2,4,2,2,7,131500,131505,2
2620014,202110,"2020-08-01",14,False,False,False,False,"0101000020E6100000068A0E37966422C0FEB4B4C7C9604340",3230,"{""pv"": 170000, ""pva"": 180900, ""coef"": 106.000, ""meses"": 10, ""pv_m2"": 3036}","{""cp"": ""1500-021 LISBOA"", ""abp"": 56, ""concelho"": ""Lisboa"", ""freguesia"": ""Benfica"", ""n_quartos"": 2, ""orginal_cfr"": ""123361228-5"", ""percentil_pva"": 13, ""ano_construcao"": 1987}",219,"80ed9fd666ffcc7cfa6d11cf08a5fdb5",NULL,5,1500021,2,1,2,1,3,110600,110608,1
2565471,202110,"2020-08-01",14,False,False,False,False,"0101000020E610000044899BF5575522C071C2080A51514340",1561,"{""pv"": 95000, ""pva"": 109300, ""coef"": 115.000, ""meses"": 1, ""pv_m2"": 1357}","{""cp"": ""2855-023 CORROIOS"", ""abp"": 70, ""concelho"": ""Seixal"", ""freguesia"": ""Corroios"", ""n_quartos"": 2, ""orginal_cfr"": ""120881280-46"", ""percentil_pva"": 34, ""ano_construcao"": 1991}",219,"b2f09f008993ce6d131156840f3fc8bf",NULL,5,2855023,2,2,2,1,3,151000,151005,1
2582119,202110,"2020-11-01",11,False,True,False,True,"0101000020E61000007F43F79887F722C0C1012D5D41634340",2741,"{""pv"": 584100, ""pva"": 655300, ""coef"": 112.000, ""meses"": 29, ""pv_m2"": 2444}","{""cp"": ""2705-001 COLARES"", ""abp"": 239, ""concelho"": ""Sintra"", ""freguesia"": ""Colares"", ""n_quartos"": 3, ""orginal_cfr"": ""121661112-44"", ""percentil_pva"": 94, ""ano_construcao"": 1951}",219,"d35848c3a864138293139928661a9e27",NULL,3,2705001,2,4,1,2,7,111100,111105,1
2618682,202110,"2020-12-01",10,False,False,False,False,"0101000020E6100000EDF0B19DEAC820C06B8B42FDF4C74440",1587,"{""pv"": 97000, ""pva"": 104800, ""coef"": 108.000, ""meses"": 2, ""pv_m2"": 1470}","{""cp"": ""4710-188 BRAGA"", ""abp"": 66, ""concelho"": ""Braga"", ""freguesia"": ""Gualtar"", ""n_quartos"": 1, ""orginal_cfr"": ""123331121-12"", ""percentil_pva"": 29, ""ano_construcao"": 2005}",219,"88874e08f273752f2054b638ba7b09c7",NULL,7,4710188,2,2,2,1,2,30300,30319,3
